WARNING - 11/03/2017 00:08:19| PyNaCl is not installed, voice will NOT be supported
INFO - 11/03/2017 00:08:19| on_ready has successfully been registered as an event
INFO - 11/03/2017 00:08:19| on_message has successfully been registered as an event
INFO - 11/03/2017 00:08:19| logging in using static token
INFO - 11/03/2017 00:08:20| Created websocket connected to wss://gateway.discord.gg?encoding=json&v=6
INFO - 11/03/2017 00:08:20| sent the identify payload to create the websocket
INFO - 11/03/2017 00:08:22| ---------------
INFO - 11/03/2017 00:08:22| DanBot Initialized.
INFO - 11/03/2017 00:08:22| User: DanBot
INFO - 11/03/2017 00:08:22| Id: 375519136891011072
INFO - 11/03/2017 00:08:22| ---------------
WARNING - 11/03/2017 00:08:50| PyNaCl is not installed, voice will NOT be supported
INFO - 11/03/2017 00:08:50| on_ready has successfully been registered as an event
INFO - 11/03/2017 00:08:50| on_message has successfully been registered as an event
INFO - 11/03/2017 00:08:50| logging in using static token
INFO - 11/03/2017 00:08:51| Created websocket connected to wss://gateway.discord.gg?encoding=json&v=6
INFO - 11/03/2017 00:08:51| sent the identify payload to create the websocket
INFO - 11/03/2017 00:08:53| ---------------
INFO - 11/03/2017 00:08:53| DanBot Initialized.
INFO - 11/03/2017 00:08:53| User: DanBot
INFO - 11/03/2017 00:08:53| Id: 375519136891011072
INFO - 11/03/2017 00:08:53| ---------------
