WARNING - 11/03/2017 00:19:22| PyNaCl is not installed, voice will NOT be supported
INFO - 11/03/2017 00:19:22| on_ready has successfully been registered as an event
INFO - 11/03/2017 00:19:22| on_message has successfully been registered as an event
INFO - 11/03/2017 00:19:22| logging in using static token
INFO - 11/03/2017 00:19:22| Created websocket connected to wss://gateway.discord.gg?encoding=json&v=6
INFO - 11/03/2017 00:19:22| sent the identify payload to create the websocket
INFO - 11/03/2017 00:19:24| ---------------
INFO - 11/03/2017 00:19:24| DanBot Initialized.
INFO - 11/03/2017 00:19:24| User: DanBot
INFO - 11/03/2017 00:19:24| Id: 375519136891011072
INFO - 11/03/2017 00:19:24| ---------------
