WARNING - 11/03/2017 00:05:15| PyNaCl is not installed, voice will NOT be supported
INFO - 11/03/2017 00:05:15| on_ready has successfully been registered as an event
INFO - 11/03/2017 00:05:15| on_message has successfully been registered as an event
INFO - 11/03/2017 00:05:15| logging in using static token
INFO - 11/03/2017 00:05:15| Created websocket connected to wss://gateway.discord.gg?encoding=json&v=6
INFO - 11/03/2017 00:05:15| sent the identify payload to create the websocket
INFO - 11/03/2017 00:05:17| ---------------
INFO - 11/03/2017 00:05:17| DanBot Initialized.
INFO - 11/03/2017 00:05:17| User: DanBot
INFO - 11/03/2017 00:05:17| Id: 375519136891011072
INFO - 11/03/2017 00:05:17| ---------------
WARNING - 11/03/2017 00:05:50| PyNaCl is not installed, voice will NOT be supported
INFO - 11/03/2017 00:05:50| on_ready has successfully been registered as an event
INFO - 11/03/2017 00:05:50| on_message has successfully been registered as an event
INFO - 11/03/2017 00:05:50| logging in using static token
INFO - 11/03/2017 00:05:50| Created websocket connected to wss://gateway.discord.gg?encoding=json&v=6
INFO - 11/03/2017 00:05:50| sent the identify payload to create the websocket
INFO - 11/03/2017 00:05:52| ---------------
INFO - 11/03/2017 00:05:52| DanBot Initialized.
INFO - 11/03/2017 00:05:52| User: DanBot
INFO - 11/03/2017 00:05:52| Id: 375519136891011072
INFO - 11/03/2017 00:05:52| ---------------
