WARNING - 11/02/2017 23:50:01| PyNaCl is not installed, voice will NOT be supported
INFO - 11/02/2017 23:50:01| on_ready has successfully been registered as an event
INFO - 11/02/2017 23:50:01| on_message has successfully been registered as an event
INFO - 11/02/2017 23:50:01| logging in using static token
INFO - 11/02/2017 23:50:02| Created websocket connected to wss://gateway.discord.gg?encoding=json&v=6
INFO - 11/02/2017 23:50:02| sent the identify payload to create the websocket
INFO - 11/02/2017 23:50:04| ---------------
INFO - 11/02/2017 23:50:04| DanBot Initialized.
INFO - 11/02/2017 23:50:04| User: DanBot
INFO - 11/02/2017 23:50:04| Id: 375519136891011072
INFO - 11/02/2017 23:50:04| ---------------
WARNING - 11/02/2017 23:50:19| PyNaCl is not installed, voice will NOT be supported
INFO - 11/02/2017 23:50:19| on_ready has successfully been registered as an event
INFO - 11/02/2017 23:50:19| on_message has successfully been registered as an event
INFO - 11/02/2017 23:50:19| logging in using static token
INFO - 11/02/2017 23:50:19| Created websocket connected to wss://gateway.discord.gg?encoding=json&v=6
INFO - 11/02/2017 23:50:19| sent the identify payload to create the websocket
INFO - 11/02/2017 23:50:21| ---------------
INFO - 11/02/2017 23:50:21| DanBot Initialized.
INFO - 11/02/2017 23:50:21| User: DanBot
INFO - 11/02/2017 23:50:21| Id: 375519136891011072
INFO - 11/02/2017 23:50:21| ---------------
INFO - 11/02/2017 23:50:24| Recieved Message:!listserver
INFO - 11/02/2017 23:50:24| Recieved Message:divine_journey
